Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,Months,SIR_2015,Notes
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,682,941.92,15841437,0.72,0.67,0.78,Better,No,,0.97,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,3,2.1,100801,1.43,0.36,3.89,Same,No,,0.47,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,73,74.8,417309,0.98,0.77,1.22,Same,No,,1.59,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,2,10.24,538537,0.2,0.03,0.65,Better,Yes,,0.85,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000011,Alameda Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0,1.06,21359,0,0,2.82,Same,Yes,12,0,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Major Teaching,0,5.2,57022,0,0,0.58,Same,Yes,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000425,Alta Bates Summit Medical Center,Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.24,12661,0,0,15.32,Same,Yes,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000012,Alta Bates Summit Medical Center-Alta Bates Campus,Alameda,Acute Care Hospital,Major Teaching,2,3.63,64630,0.55,0.09,1.82,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000183,Eden Medical Center,Alameda,Acute Care Hospital,"Community, 125-250 Beds",3,2.15,43156,1.4,0.36,3.8,Same,No,12,2.19,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000034,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,2,4.47,52448,0.45,0.08,1.48,Same,Yes,12,0.74,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140001086,Kaiser Foundation Hospital - Fremont,Alameda,Acute Care Hospital,"Community, <125 Beds",0,1.35,28624,0,0,2.21,Same,Yes,12,0,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000188,Kaiser Foundation Hospital - Oakland/Richmond,Alameda,Acute Care Hospital,Major Teaching,3,5.15,89220,0.58,0.15,1.58,Same,No,12,0.45,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630015029,Kaiser Foundation Hospital - San Leandro,Alameda,Acute Care Hospital,"Community, 125-250 Beds",2,2.57,60197,0.78,0.13,2.57,Same,No,12,0.5,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000148,Kindred Hospital - San Francisco Bay Area,Alameda,Long-Term Acute Care Hospital,Long-Term Acute Care,2,7.71,22442,0.26,0.04,0.86,Better,Yes,12,0.74,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,"Community, <125 Beds",0,0.54,12608,0,0,6.84,Same,Yes,12,2,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,"Community, 125-250 Beds",0,0.69,15990,0,0,5.32,Same,Yes,12,0.65,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000199,Stanford Health Care Tri-Valley,Alameda,Acute Care Hospital,"Community, 125-250 Beds",2,2.23,40848,0.9,0.15,2.96,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000014,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,1,1.76,39957,0.57,0.03,2.81,Same,No,12,0,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000118,Washington Hospital,Alameda,Acute Care Hospital,"Community, >250 Beds",3,3.53,61260,0.85,0.22,2.31,Same,No,12,0.74,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,"Community, <125 Beds",0,0.28,9992,0,0,13.07,Same,Yes,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000013,Enloe Health,Butte,Acute Care Hospital,"Community, >250 Beds",1,5.68,79602,0.18,0.01,0.87,Better,Yes,12,0.85,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.12,6491,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0.04,1683,,,,,,11,,"Incomplete Reporter, interpret with caution"
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000014,Oroville Hospital,Butte,Acute Care Hospital,"Community, 125-250 Beds",1,1.99,39615,0.5,0.03,2.48,Same,Yes,12,1.15,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,0,0.05,2637,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),230000259,Colusa Medical Center,Colusa,Acute Care Hospital,"Community, <125 Beds",,,,,,,,,0,,"Incomplete Reporter, interpret with caution"
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000195,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,0,1.58,31854,0,0,1.9,Same,Yes,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000196,John Muir Medical Center-Concord Campus,Contra Costa,Acute Care Hospital,Major Teaching,4,4.28,59249,0.94,0.3,2.26,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,John Muir Medical Center-Walnut Creek Campus,Contra Costa,Acute Care Hospital,Major Teaching,6,8.01,100694,0.75,0.3,1.56,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000187,John Muir Medical Center-Walnut Creek Campus,Contra Costa,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.13,6584,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),630011203,Kaiser Foundation Hospital - Antioch,Contra Costa,Acute Care Hospital,Major Teaching,0,1.78,41208,0,0,1.68,Same,Yes,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000191,Kaiser Foundation Hospital - Richmond Campus,Contra Costa,Acute Care Hospital,Major Teaching,1,0.67,16361,1.5,0.04,8.33,Same,No,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000190,Kaiser Foundation Hospital - Walnut Creek,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",1,3.47,71357,0.29,0.01,1.42,Same,Yes,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000704,San Ramon Regional Medical Center,Contra Costa,Acute Care Hospital,"Community, <125 Beds",0,0.5,14527,0,0,7.36,Same,Yes,12,0,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),140000016,Sutter Delta Medical Center,Contra Costa,Acute Care Hospital,"Community, 125-250 Beds",1,1.08,27068,0.92,0.05,4.55,Same,No,12,0.65,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",0,0.27,8305,0,0,13.75,Same,Yes,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),110000049,Sutter Coast Hospital,Del Norte,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.04,1850,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000114,Barton Memorial Hospital,El Dorado,Acute Care Hospital,"Community, <125 Beds",0,0.24,8162,0,0,15.1,Same,Yes,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),030000121,Marshall Medical Center,El Dorado,Acute Care Hospital,"Community, <125 Beds",1,0.75,18354,1.34,0.03,7.48,Same,No,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000124,Adventist Health Reedley,Fresno,Acute Care Hospital,Major Teaching,1,0.2,7920,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000122,Adventist Health Selma,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.15,6538,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000095,Clovis Community Medical Center,Fresno,Acute Care Hospital,Major Teaching,8,6.45,92962,1.24,0.58,2.35,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000096,Coalinga Regional Medical Center,Fresno,Critical Access Hospital,Critical Access,0,0.11,5195,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Acute Care Hospital,Major Teaching,16,14.48,191665,1.11,0.65,1.76,Same,No,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000101,Community Regional Medical Center,Fresno,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.19,9735,,,,,,12,,
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040001397,Fresno Heart and Surgical Hospital,Fresno,Acute Care Hospital,Major Teaching,0,0.48,13121,0,0,7.64,Same,Yes,12,,¥ See Data Dictionary
2023,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),040000254,Fresno Surgical Hospital,Fresno,Acute Care Hospital,"Community, <125 Beds",0,0.04,3434,,,,,,12,,
